X1	X2	X3
Staff	2016-05-02 16:16:14	I will defeat Crooked Hillary Clinton on 11/8/2016. #Trump2016 #MakeAmericaGreatAgain https://t.co/HtwD1FGn9e
Trump	2016-02-23 02:19:01	Great Town Hall tonight at 10:00 P.M. (Eastern) conducted by @seanhannity on @FoxNews
Staff	2016-04-12 01:31:23	Thank you Albany, New York! #MakeAmericaGreatAgain #Trump2016 https://t.co/IAOuSY5VDC https://t.co/WcItUuxej8
Staff	2016-06-08 03:39:37	Thank you New Mexico! #Trump2016 https://t.co/wNOY8Pc2kM https://t.co/osWzVxNkJx
Trump	2016-06-15 22:49:53	I will be interviewed on @greta at 7:00 P.M.  @FoxNews
Staff	2016-07-12 12:55:29	For too many years, our inner cities have been left behind. I am going to deliver jobs, safety and protection for those in need.
Staff	2016-08-01 23:02:59	Join me in Florida on Wednesday! Daytona &amp; Jacksonville:  Daytona | 3pm- https://t.co/rJjYUbwiLL Jacksonville | 7pm- https://t.co/zfxeNbr1nq
Trump	2016-02-03 14:28:59	Based on the fraud committed by Senator Ted Cruz during the Iowa Caucus, either a new election should take place or Cruz results nullified.
Staff	2016-07-28 20:30:18	AMERICA'S FUTURE https://t.co/xymiA0Az7x
Staff	2016-04-02 20:31:12	.@FoxNews should be ashamed for allowing experts to explain how to make a nuclear attack!
Trump	2016-02-17 03:04:22	Explain to @brithume and @megynkelly, who know nothing, that I will beat Hillary and win states (and dem-indie votes) that no other R can!
Staff	2016-03-23 03:30:10	Thank you, Arizona! #Trump2016 #WesternTuesday #TrumpTrain https://t.co/VMCzxrryG8
Trump	2016-06-30 02:39:36	For reasons only they can explain, the @USChamber wants to continue our bad trade deals rather than renegotiating and making them better.
Trump	2016-07-26 22:50:12	For the record, I have ZERO investments in Russia.
Trump	2016-02-22 13:42:06	"""@1sonny12: @KSmith233035 @mitchellvii  FLORIDIANS ARE UPSET BECAUSE RUBIO DID NOT DO WHAT HE PROMISED ONCE HE WAS ELECTED! VOTE TRUMP"""
Staff	2016-06-19 03:01:15	Yesterday's failing @NYTimes fraudulently shows an empty room prior to my speech, when in fact, it was packed! https://t.co/iFuf8MdTEH
Staff	2016-03-15 13:43:25	#VoteTrump #SuperTuesday ✅Florida ✅Illinois ✅Missouri ✅North Carolina ✅Ohio  #TrumpTrain  https://t.co/zyRctsFmSq https://t.co/kxrn0ev4UF
Trump	2016-04-24 01:48:17	As soon as John Kasich is hit with negative ads, he will drop like a rock in the polls against Crooked Hillary Clinton. I will win!
Staff	2016-05-02 22:24:06	Will be in South Bend, Indiana in a short while -- big rally! See you soon!
Trump	2016-07-29 12:40:10	The media coverage this morning of the very average Clinton speech and Convention is a joke. @CNN and the little watched @Morning_Joe = SAD!
Trump	2016-07-12 11:58:58	Crime is out of control, and rapidly getting worse. Look what is going on in Chicago and our inner cities. Not good!
Staff	2016-03-29 19:38:03	MAKE AMERICA GREAT AGAIN! https://t.co/0w4ldD7dW3
Trump	2016-07-06 13:24:50	Even the once great Caesars is bankrupt in A.C. Others to follow. Ask the Democrat City Council what happened to Atlantic City.
Trump	2016-06-26 22:15:40	Crooked Hillary Clinton got Brexit wrong. I said LEAVE will win. She has no sense of markets and such bad judgement. Only a question of time
Trump	2016-03-03 14:21:14	The phony lawsuit against Trump U could have been easily settled by me but I want  to go to court. 98% approval rating by students. Easy win
Staff	2016-05-21 17:00:42	MAKE AMERICA GREAT AGAIN! https://t.co/MAZK5bdZuD
Staff	2016-05-28 20:28:22	The failing @nytimes wrote a story about my management style &amp; that I don't have many people. I have 73, Hillary has 800- &amp; I'm beating her.
Trump	2016-07-24 13:27:56	"There is no longer a Bernie Sanders ""political revolution."" He is turning out to be a weak and somewhat pathetic figure,wants it all to end!"
Staff	2016-07-21 19:56:45	This is a MOVEMENT! #RNCinCLE https://t.co/bdox6JcrAp
Staff	2016-07-02 13:55:45	The #2A to our Constitution is clear. The right of the people to keep &amp; bear Arms shall not be infringed upon. https://t.co/sqe12D0MBJ
Trump	2016-02-09 12:16:37	No-one has done more for people with disabilities than me. I have spent many millions of dollars to help out-and am happy to have done so!
Trump	2016-07-17 12:14:46	I hope that Crooked Hillary picks Goofy Elizabeth Warren, sometimes referred to as Pocahontas, as her V.P. Then we can litigate her fraud!
Staff	2016-07-13 12:33:15	Thank you! #ImWithYou https://t.co/6XkUQ0W4QS
Staff	2016-05-15 21:26:39	Thank you Georgia! See you soon! #Trump2016 https://t.co/8yFd6qA4rD
Staff	2016-07-25 21:25:50	Thank you OHIO! #TrumpPence16 https://t.co/NOF9Td9BHs https://t.co/WPMBkYjuIm
Trump	2016-03-23 21:44:44	I want to thank @RealSheriffJoe for all of his help in our historic Arizona win. Could not have done it without you Joe!
Staff	2016-05-02 21:42:54	Thank you Carmel, Indiana! Get out &amp; #VoteTrump tomorrow! #INPrimary #MakeAmericaGreatAgain https://t.co/j07c4oYryG
Trump	2016-07-23 15:01:48	Funny that the Democrats would have their convention in Pennsylvania where her husband and her killed so many jobs. I will bring jobs back!
Trump	2016-05-15 11:14:59	"""@tzard000: @realDonaldTrump @nytimes Everyone continues to pile onto Donald, but they can NEVER take away our votes!""  Thank you!"
Staff	2016-06-26 02:40:06	Obama has blocked ICE officers and BP from doing their jobs. That ends when I am President!
Trump	2016-08-01 12:50:32	"When I said in an interview that Putin is ""not going into Ukraine, you can mark it down,"" I am saying if I am President. Already in Crimea!"
